"Day","s","i","r","Stream 1","Stream 2","Stream 3","Stream 4","Stream 1 (Extended Analysis)"
0,0.998,0.002,1.73472347597681e-18,NA,NA,NA,NA,NA
1,0.997414417454434,0.00236632361752824,0.000219258928037496,0.99932976113677,NA,NA,0.999166761544118,NA
2,0.996902774810646,0.00267450298559317,0.000422722203760792,0.999464413457765,0.999999373203147,0.999642464900228,NA,1629.87550240971
3,0.996225232627807,0.0030084978875194,0.000766269484673998,1.00096372919777,1.001185950247,1.00249734354463,1.00143021062259,NA
4,0.995382778166786,0.00365528239697065,0.000961939436243018,1.00089696917528,0.99994711684786,1.00035910326363,1.00152491182355,1653.23541545527
5,0.994523646863187,0.00418383389242026,0.00129251924439279,1.00214127521807,NA,NA,1.0007344365779,NA
6,0.993484232987069,0.00483699139736169,0.00167877561556975,1.00271325952505,NA,1.00234391817744,1.00220217481686,1641.53776636153
7,0.992422045852917,0.00540115417813773,0.00217679996894478,NA,1.00031296833701,NA,0.999853441701237,1646.58807559183
8,0.991016694741545,0.00636503314346598,0.00261827211498883,NA,NA,NA,NA,NA
9,0.989468546166957,0.00726635862711793,0.00326509520592462,1.00009372487156,NA,NA,NA,1635.38594262706
10,0.987857498701025,0.00813056770569725,0.00401193359327741,1.00226124504641,0.999458325127147,1.00037410872552,1.00381439259039,NA
11,0.985907294094741,0.00923978175610142,0.00485292414915727,NA,1.00028059162463,1.00266723264809,1.00363039922191,NA
12,0.98360009686696,0.010559461250002,0.00584044188303756,1.00021001838204,NA,1.00093806671403,NA,NA
13,0.981076014157999,0.0118542707876291,0.00706971505437164,NA,1.00181684741637,1.00381051103549,NA,1658.63714468687
14,0.97822661313763,0.0133534735692816,0.00841991329308787,NA,NA,NA,NA,1672.57500003574
15,0.975089177254554,0.0151084929769938,0.00980232976845255,1.00207701322674,1.0031192530753,1.00310845548793,1.00419398947139,NA
16,0.971756503090413,0.0169502094504676,0.0112932874591193,NA,1.00435646614761,1.0040025737507,1.00456607562521,1651.34926333151
17,0.967794156765499,0.0191365691051849,0.0130692741293162,NA,NA,NA,NA,1669.80122434606
18,0.963364017729708,0.0215000579711223,0.0151359242991692,1.0020914710323,1.00522779299459,1.00579118557577,1.00399841387012,1698.00219849679
19,0.958415998312571,0.0241000886298718,0.0174839130575576,1.00489074765143,1.00586146467077,1.00485950901326,1.006016468917,NA
20,0.953068857548784,0.0267166811478164,0.0202144613033999,NA,1.00563619626575,1.00379395337736,1.00841441938144,1699.34667418471
21,0.94704781056187,0.0299239688710865,0.0230282205670434,NA,NA,NA,NA,NA
22,0.940179138558315,0.0335598545696215,0.0262610068720639,1.00615302067295,1.00709595884013,1.00825208869236,NA,NA
23,0.932666661254263,0.0375095576260773,0.02982378111966,NA,NA,NA,NA,NA
24,0.924524114308302,0.0416448547192677,0.0338310309724306,NA,NA,NA,NA,NA
25,0.915346110347694,0.0464079633492408,0.0382459263030649,1.00795681414778,NA,NA,1.01547679978982,NA
26,0.905342146725157,0.0514665428870841,0.0431913103877588,1.01051565542394,1.01172919253431,1.01225064013909,1.01546724588205,NA
27,0.894245348025035,0.0570385182219719,0.0487161337529928,NA,1.01255545785319,NA,NA,1778.58061494969
28,0.882405628334253,0.0627583063082568,0.0548360653574903,1.01137170463772,1.01658862340944,1.01287648139895,1.02080403225009,NA
29,0.869423867048402,0.0690726718236271,0.0615034611279712,NA,1.01616379202929,NA,NA,1835.69917971157
30,0.855441439332584,0.0756865371786415,0.0688720234887746,NA,1.01934061101097,1.01628748282844,1.0256395080701,1876.91461423471
31,0.84051203754172,0.0826616206273446,0.0768263418309355,1.01664320022325,NA,NA,1.02644084151271,NA
